                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.3684,                 4.1005,                 2.1695,                0.41432,                0.20905,                0.19962,                 0.0722,                 2.4736,                 2.8762,                 2.1261,               0.070121,              0.0033198,              0.0033198
                      1,                 2.1474,                 2.7768,                 1.9212,                0.41347,                0.28879,                0.27066,                0.10664,                 2.3358,                 2.7228,                 2.0579,               0.040056,              0.0065873,              0.0065873
                      2,                 2.1822,                 2.6671,                 1.9643,                0.24974,                0.07328,                0.04805,                0.01633,                  3.352,                 3.8457,                 3.1046,              0.0099237,              0.0097888,              0.0097888
                      3,                 2.2108,                 2.6086,                 2.0219,                 0.2507,                0.32112,                0.21291,                 0.0787,                 2.4399,                 3.1257,                  2.207,               0.009703,               0.009703,               0.009703
                      4,                 2.1767,                 2.5473,                  2.004,                0.51498,                0.37757,                0.37867,                0.14262,                 2.1548,                 2.5422,                 1.9934,               0.009703,               0.009703,               0.009703
                      5,                  2.072,                 2.3689,                 1.9487,                0.54624,                0.28798,                0.29239,                0.12077,                 2.3772,                 3.0178,                 2.1688,               0.009604,               0.009604,               0.009604
                      6,                  2.005,                  2.262,                 1.9084,                0.51592,                 0.3556,                0.36447,                0.16637,                 2.1195,                   2.36,                 2.0541,               0.009505,               0.009505,               0.009505
                      7,                 1.9684,                 2.2216,                 1.8835,                0.53254,                0.29957,                0.27521,                0.11392,                 2.5804,                 2.9345,                 2.5259,               0.009406,               0.009406,               0.009406
                      8,                 1.9313,                 2.0958,                 1.8312,                 0.5302,                0.48707,                 0.5032,                0.22994,                 1.8922,                  1.887,                 1.8176,               0.009307,               0.009307,               0.009307
                      9,                 1.8941,                 2.0631,                 1.8263,                0.63926,                0.46975,                 0.5558,                0.25368,                 1.8799,                 1.7097,                 1.7552,               0.009208,               0.009208,               0.009208
                     10,                 1.8613,                 1.9934,                 1.7819,                0.59874,                0.49784,                0.51271,                0.24856,                 1.8875,                  1.679,                 1.7915,               0.009109,               0.009109,               0.009109
                     11,                 1.8327,                  1.934,                 1.7616,                0.50567,                0.30819,                0.30859,                0.12925,                 2.3209,                 2.6591,                 2.2656,                0.00901,                0.00901,                0.00901
                     12,                 1.8289,                 1.9084,                 1.7502,                0.65288,                0.36888,                0.40222,                0.18312,                 2.1624,                 2.2527,                 2.1171,               0.008911,               0.008911,               0.008911
                     13,                  1.803,                 1.8539,                 1.7449,                0.58949,                 0.3944,                0.43244,                0.19741,                 2.0416,                 2.0423,                 1.9872,               0.008812,               0.008812,               0.008812
                     14,                 1.7655,                 1.8173,                 1.7283,                0.64237,                0.39098,                0.44091,                0.20882,                  2.072,                 2.1686,                 2.0107,               0.008713,               0.008713,               0.008713
                     15,                 1.7294,                 1.7761,                 1.7125,                0.63327,                0.39871,                0.44578,                0.20982,                 2.0511,                 2.1451,                 2.0454,               0.008614,               0.008614,               0.008614
                     16,                 1.7055,                 1.7593,                 1.6754,                0.52182,                0.28928,                0.27713,                0.12904,                 2.2968,                 2.8376,                 2.2369,               0.008515,               0.008515,               0.008515
                     17,                  1.704,                   1.72,                 1.6551,                0.72196,                0.57642,                 0.6434,                0.32778,                 1.7105,                 1.3986,                 1.6431,               0.008416,               0.008416,               0.008416
                     18,                 1.6711,                 1.6684,                 1.6475,                0.71258,                 0.6056,                 0.6561,                0.33172,                 1.7365,                  1.425,                 1.6877,               0.008317,               0.008317,               0.008317
