                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  2.364,                  4.442,                 2.2226,                0.46312,                0.28448,                0.24987,                0.09933,                 2.2987,                 2.4528,                 1.9697,               0.070121,              0.0033198,              0.0033198
                      1,                 2.0069,                 2.2332,                 1.8252,                0.44174,                0.28138,                0.27558,                0.10077,                 2.2925,                 2.4146,                 2.0071,               0.040056,              0.0065873,              0.0065873
                      2,                 2.0584,                 2.2952,                 1.8456,                0.44525,                0.20043,                0.16572,                 0.0668,                 2.5319,                 3.8307,                 2.2239,              0.0099237,              0.0097888,              0.0097888
                      3,                 2.1654,                 2.4217,                 1.9625,                0.28582,                0.28448,                 0.2486,                 0.0881,                 2.3173,                   2.68,                 2.0654,               0.009703,               0.009703,               0.009703
                      4,                 2.0885,                 2.2998,                  1.912,                 0.5269,                0.42026,                0.40541,                0.17337,                 2.2048,                 2.1161,                 2.0362,               0.009703,               0.009703,               0.009703
                      5,                 2.0216,                 2.1952,                   1.87,                0.50322,                 0.2931,                 0.2722,                0.11756,                   2.43,                 2.5828,                 2.2688,               0.009604,               0.009604,               0.009604
                      6,                 1.9808,                 2.1091,                 1.8594,                0.48927,                  0.375,                0.37915,                0.17551,                 2.0958,                 2.1053,                 1.9343,               0.009505,               0.009505,               0.009505
                      7,                 1.9089,                 1.9699,                 1.7872,                0.58171,                0.40162,                0.42963,                 0.2016,                 2.0535,                 2.0131,                 1.9258,               0.009406,               0.009406,               0.009406
                      8,                 1.8973,                 1.9813,                 1.7895,                0.47601,                0.24784,                0.23949,                 0.1069,                 2.4953,                 3.1208,                 2.4421,               0.009307,               0.009307,               0.009307
                      9,                  1.859,                 1.8904,                 1.7563,                0.63108,                0.50431,                0.54983,                0.26344,                 1.8637,                 1.6501,                  1.787,               0.009208,               0.009208,               0.009208
                     10,                 1.8112,                 1.8169,                 1.7344,                 0.6416,                0.40302,                0.45006,                 0.2012,                 2.0518,                 1.8532,                 1.9297,               0.009109,               0.009109,               0.009109
                     11,                 1.7745,                 1.7705,                  1.704,                0.62833,                   0.47,                0.53293,                0.25764,                 1.8961,                 1.6718,                 1.7879,                0.00901,                0.00901,                0.00901
                     12,                 1.7548,                 1.7741,                 1.6925,                0.69641,                0.43534,                0.50262,                0.24189,                 1.8922,                 1.8102,                  1.831,               0.008911,               0.008911,               0.008911
                     13,                 1.7221,                 1.6954,                 1.6852,                0.69008,                0.52307,                0.61513,                0.30405,                 1.8191,                 1.4716,                 1.7339,               0.008812,               0.008812,               0.008812
                     14,                 1.6996,                  1.683,                 1.6653,                0.68558,                0.48872,                 0.5675,                 0.2743,                 1.9058,                 1.5692,                 1.7914,               0.008713,               0.008713,               0.008713
                     15,                  1.671,                 1.6526,                 1.6496,                0.67225,                0.51293,                0.56975,                 0.2702,                 1.8388,                 1.5641,                 1.7491,               0.008614,               0.008614,               0.008614
                     16,                 1.6496,                 1.6021,                  1.629,                0.66188,                0.45474,                0.52445,                0.25317,                 1.8888,                 1.7848,                 1.8239,               0.008515,               0.008515,               0.008515
                     17,                 1.6245,                 1.5526,                 1.5977,                0.65713,                0.42958,                0.46113,                0.22896,                 1.9918,                 2.1422,                 1.9323,               0.008416,               0.008416,               0.008416
                     18,                 1.6138,                 1.5127,                 1.5824,                0.71595,                 0.5595,                0.62418,                0.31315,                 1.8073,                 1.4235,                 1.7204,               0.008317,               0.008317,               0.008317
                     19,                  1.601,                 1.5268,                 1.5886,                0.62477,                0.37716,                0.42318,                0.19759,                 2.1463,                  2.328,                 2.0786,               0.008218,               0.008218,               0.008218
                     20,                 1.5717,                 1.4707,                 1.5536,                0.66566,                0.53017,                0.58401,                0.28131,                 1.8946,                 1.5883,                 1.8113,               0.008119,               0.008119,               0.008119
